Date,Usage (kWh)
2025-11-24,2.2
2025-11-25,1.6
2025-11-26,1.5
2025-11-27,1.7
2025-11-28,1.2
2025-11-29,1.4
2025-11-30,2.4
2025-12-01,2.3
2025-12-02,1.9
2025-12-03,1.4
2025-12-04,1.6
2025-12-05,1
2025-12-06,1.5
2025-12-07,2.1
2025-12-08,2.3
2025-12-09,1.5
2025-12-10,1.3
2025-12-11,1.4
2025-12-12,1.4
2025-12-13,2.4
2025-12-14,3.2
2025-12-15,2
2025-12-16,2
2025-12-17,1.3
2025-12-18,1.2
2025-12-19,1.3
2025-12-20,2.2
2025-12-21,1
2025-12-22,0.5
